image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,FixDot2.stopped,key_resp_2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.0054686049988958985,0.01735463601653464,0.01735463601653464,0.8102348420070484,s,0,0.7870771010057069,None,,,,,,,,,,,,,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,0,0,0,0.8595347010123078,,,,,,,,,,0.8180211060098372,0.8595347010123078,0.8595347010123078,1.5578159629949369,1.6069860650168266,1.7914946780074388,None,0,,,,,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
./images_eeg/Sphere_CCW-2.25_BG-grey_stim-white.png,0,1,1,1,1.842861545010237,,,,,,,,,,1.7924709790095221,1.842861545010237,1.842861545010237,2.5577010519918986,2.589587144990219,2.7572892880125437,None,0,,,,,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
./images_eeg/Sphere_CW-2.25_BG-grey_stim-yellow.png,0,2,2,2,2.79466007501469,,,,,,,,,,2.7577744250011165,2.815646341012325,2.815646341012325,3.555943172017578,3.555943172017578,3.7565154950134456,['space'],0,0.5187444089970086,None,,,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
./images_eeg/Sphere_CW-2.25_BG-grey_stim-white.png,0,3,3,3,3.797737265995238,,,,,,,,,,3.7574995280010626,3.8056379340123385,3.8056379340123385,4.557290908007417,4.549071126995841,4.757511975010857,None,0,,,,,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
./images_eeg/Sphere_CCW-2.25_BG-grey_stim-white.png,0,4,4,4,4.798889638012042,,,,,,,,,,4.7580694729986135,4.806992066005478,4.806992066005478,5.556200886989245,5.548715960001573,5.799493074999191,None,0,,,5.79856654399191,5.79856654399191,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-yellow.png,0,5,5,5,5.849778033996699,,,,,,,,,,5.8000525849929545,5.849778033996699,5.849778033996699,6.557865234994097,6.607264890015358,6.740445978997741,['space'],0,0.3924612090049777,None,,,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,6,6,6,6.79230122899753,,,,,,,,,,6.74144838299253,6.805905806017108,6.805905806017108,7.555932143004611,7.548224158002995,7.722694191004848,None,0,,,,,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
./images_eeg/Sphere_CCW-2.25_BG-grey_stim-white.png,0,7,7,7,7.764230480999686,,,,,,,,,,7.723275666998234,7.804936378990533,7.804936378990533,8.555423123994842,8.547802854009205,8.756006339011947,None,0,,,,,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
./images_eeg/Sphere_CW-2.25_BG-grey_stim-white.png,0,8,8,8,8.803990209999029,,,,,,,,,,8.756747961015208,8.814188274001935,8.814188274001935,9.554593929002294,9.554593929002294,9.788267747004284,None,0,,,,,sub-SM,ses-2control,run-1,grey,2024-05-31_12h07.26.244,VDT,2023.2.3,123.7132186463194,2024-05-31 12h07.31.123494 +0200,
