image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,FixDot2.stopped,key_resp_2.stopped,key_resp_2.rt,key_resp_2.duration,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.00519563999841921,0.017573563993209973,0.017573563993209973,5.260032916005002,s,0,5.236868632026017,None,,,,,,,,,,,,,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
./images_eeg/Sphere_CCW-2.25_BG-grey_stim-white.png,0,0,0,0,5.311717717995634,,,,,,,,,,5.269738514005439,5.311717717995634,5.311717717995634,6.033397435996449,6.060791869007517,6.224763069010805,None,0,,,,,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
./images_eeg/Sphere_CCW-2.25_BG-grey_stim-white.png,0,1,1,1,6.269975111994427,,,,,,,,,,6.2254259180044755,6.269975111994427,6.269975111994427,7.007822284009308,7.015797644999111,7.216898996994132,None,0,,,,,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
./images_eeg/Sphere_CW-2.25_BG-grey_stim-white.png,0,2,2,2,7.267448483995395,,,,,,,,,,7.218068585993024,7.267448483995395,7.267448483995395,8.008137316006469,8.01562449199264,8.191894021001644,None,0,,,,,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,3,3,3,8.23186992900446,,,,,,,,,,8.192349605000345,8.265526005998254,8.265526005998254,9.006267412012676,9.006267412012676,9.283120743988547,['space'],0,9.248583453998435,9.254670783993788,0.6071970219782088,None,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
./images_eeg/Sphere_CCW-2.25_BG-grey_stim-white.png,0,4,4,4,9.33488186300383,,,,,,,,,,9.284500111010857,9.33488186300383,9.33488186300383,10.007924364006612,10.091122026002267,10.19979558500927,None,0,,,,,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
./images_eeg/Sphere_CCW-2.25_BG-grey_stim-white.png,0,5,5,5,10.249623248993885,,,,,,,,,,10.200652595987776,10.265154340013396,10.265154340013396,11.005510204005986,11.005510204005986,11.282190820988035,None,0,11.25160217701341,11.26450459699845,,,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
./images_eeg/Sphere_CW-2.25_BG-grey_stim-white.png,0,6,6,6,11.327437816013116,,,,,,,,,,11.282991010986734,11.327437816013116,11.327437816013116,12.00668942599441,12.072712707013125,12.215084772993578,None,0,,,,,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,7,7,7,12.260178422991885,,,,,,,,,,12.215875892987242,12.260178422991885,12.260178422991885,13.005230714014033,13.005230714014033,13.239468206011225,['space'],0,,,0.5017995829985011,None,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
./images_eeg/Sphere_CCW-2.25_BG-grey_stim-white.png,0,8,8,8,13.292965388012817,,,,,,,,,,13.24059676899924,13.292965388012817,13.292965388012817,14.009559244004777,14.038831610989291,14.222636488004355,None,0,,,,,sub-SM,ses-3main,run-1,grey,2024-05-31_12h09.18.766,VDT,2023.2.3,121.29128104641302,2024-05-31 12h09.23.140339 +0200,
