image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.stopped,key_resp_2.rt,key_resp_2.duration,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.00431758098420687,0.014052092999918386,0.014052092999918386,0.5421769529930316,s,0,0.5199330329778604,None,,,,,,,,,,,,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,0,0,0,0.6013470189936925,,,,,,,,,,0.5527197899937164,0.6013470189936925,0.6013470189936925,1.29711557799601,1.364126057975227,1.4837568989896681,None,0,,,,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,1,1,1,1.5259187649935484,,,,,,,,,,1.4844015299750026,1.5347036179737188,1.5347036179737188,2.2881679269776214,2.2801795969717205,2.5322921849729028,None,0,2.530587248998927,,,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,2,2,2,2.585267088987166,,,,,,,,,,2.533734051976353,2.585267088987166,2.585267088987166,3.288919945975067,3.331848481990164,3.471133702987572,None,0,,,,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-yellow.png,0,3,3,3,3.5202090249804314,,,,,,,,,,3.4717163359746337,3.5366564659925643,3.5366564659925643,4.287504651991185,4.279714400996454,4.497008941980312,['space'],0,,0.5130451670265757,None,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,4,4,4,4.541451514000073,,,,,,,,,,4.498217296990333,4.541451514000073,4.541451514000073,5.287160064995987,5.287160064995987,5.497187213972211,None,0,,,,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,5,5,5,5.544993495976087,,,,,,,,,,5.498068457993213,5.544993495976087,5.544993495976087,6.286779310990823,6.286779310990823,6.48058716399828,None,0,,,,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-yellow.png,0,6,6,6,6.532306546985637,,,,,,,,,,6.48136934597278,6.545662355987588,6.545662355987588,7.287000498996349,7.287000498996349,7.504046121990541,['space'],0,,0.5537022560019977,None,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,7,7,7,7.554396243998781,,,,,,,,,,7.504802535986528,7.554396243998781,7.554396243998781,8.287497620971408,8.295103825978003,8.481656525982544,None,0,,,,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,8,8,8,8.528903078986332,,,,,,,,,,8.482403671980137,8.537734988989541,8.537734988989541,9.286098925978877,9.286098925978877,9.520469898998272,None,0,,,,sub-SM2,ses-1control,run-4,grey,2024-05-31_12h19.17.654,VDT,2023.2.3,116.49839695544189,2024-05-31 12h19.21.490321 +0200,
