image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,FixDot2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.005083985015517101,0.011733368010027334,0.011733368010027334,0.5777856860077009,s,0,0.5589327839843463,None,,,,,,,,,,,,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,0,0,0,0.631022303015925,,,,,,,,,,0.5875651510141324,0.631022303015925,0.631022303015925,1.3245871530089062,1.3747430600051302,1.5421556429937482,None,0,,,,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,1,1,1,1.5852945570077281,,,,,,,,,,1.543032563989982,1.5852945570077281,1.5852945570077281,2.3247060980065726,2.3318530849937815,2.5153546560031828,None,0,,,,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,2,2,2,2.559372543997597,,,,,,,,,,2.515851903008297,2.5812780510168523,2.5812780510168523,3.324290484015364,3.324290484015364,3.532353223999962,['space'],0,0.5033085260074586,None,,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,3,3,3,3.5739288490149193,,,,,,,,,,3.533139780018246,3.5739288490149193,3.5739288490149193,4.324205890006851,4.314011673006462,4.524601598008303,None,0,,,,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,4,4,4,4.57412696199026,,,,,,,,,,4.525307689997135,4.580952807009453,4.580952807009453,5.3236644999997225,5.3236644999997225,5.564527659997111,None,0,,,5.563714523013914,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,5,5,5,5.61461029399652,,,,,,,,,,5.565242907992797,5.61461029399652,5.61461029399652,6.323479162005242,6.356552946992451,6.526988033001544,None,0,,,,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,6,6,6,6.57220854901243,,,,,,,,,,6.527487820014358,6.578852106002159,6.578852106002159,7.323321647010744,7.323321647010744,7.510263333009789,None,0,,,,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,7,7,7,7.558459990017582,,,,,,,,,,7.510842488001799,7.5793857389944606,7.5793857389944606,8.322995255002752,8.322995255002752,8.524232658994151,['space'],0,0.6321089690027293,None,,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,8,8,8,8.573048532009125,,,,,,,,,,8.525222252006643,8.580460500001209,8.580460500001209,9.322798975015758,9.329615363996709,9.540244961011922,None,0,,,,sub-SM2,ses-3main,run-4,grey,2024-05-31_12h23.01.229,VDT,2023.2.3,None,2024-05-31 12h23.05.249801 +0200,
