image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,FixDot2.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.004929854010697454,0.013080333999823779,0.013080333999823779,0.482035552005982,s,0,0.46362403201055713,None,,,,,,,,,,,,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,0,0,0,0.5334404960158281,,,,,,,,,,0.49090737002552487,0.5334404960158281,0.5334404960158281,1.2299454010208137,1.274147931020707,1.470306533999974,1.4710967450228054,None,0,,,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,1,1,1,1.5203875740116928,,,,,,,,,,1.471870609006146,1.5203875740116928,1.5203875740116928,2.2298430710216053,2.26334933200269,,2.397319798008539,None,0,,,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,2,2,2,2.4429159560240805,,,,,,,,,,2.3982879590184893,2.487504966004053,2.487504966004053,3.229669827996986,3.237589504016796,,3.438554867025232,['space'],0,0.5816557159996592,None,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,3,3,3,3.487665698019555,,,,,,,,,,3.4395074040221516,3.487665698019555,3.487665698019555,4.2294471230125055,4.236644336022437,,4.396563841000898,None,0,,,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,4,4,4,4.441059634002158,,,,,,,,,,4.397144000016851,4.479282417014474,4.479282417014474,5.229051981004886,5.218625531997532,,5.446264687023358,None,0,,,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,5,5,5,5.493867584998952,,,,,,,,,,5.447020224004518,5.493867584998952,5.493867584998952,6.229236350016436,6.236801838007523,,6.436370998999337,None,0,,,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,6,6,6,6.4807187220139895,,,,,,,,,,6.436867417010944,6.4807187220139895,6.4807187220139895,7.22865633800393,7.22865633800393,,7.432099032012047,None,0,,,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,7,7,7,7.468113709008321,,,,,,,,,,7.43254202301614,7.478396641003201,7.478396641003201,8.228482245001942,8.218298340012552,,8.445664668019162,None,0,,,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,8,8,8,8.489688578003552,,,,,,,,,,8.446501791011542,8.489688578003552,8.489688578003552,9.228915623010835,9.238009721011622,,9.43617467902368,['space'],0,0.6238380489812698,None,,sub-SM2,ses-4main,run-2,grey,2024-05-31_12h24.07.498,VDT,2023.2.3,120.67357768782615,2024-05-31 12h24.12.008856 +0200,
