image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,FixDot2.stopped,key_resp_2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.005566417996305972,0.012684115004958585,0.012684115004958585,0.50445452099666,s,0,0.48787872298271395,None,,,,,,,,,,,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,0,0,0,0.5513006190012675,,,,,,,,,,0.5118291469989344,0.5513006190012675,0.5513006190012675,1.25299796499894,1.2940512640052475,1.4782543990004342,None,0,,,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,1,1,1,1.5228437329933513,,,,,,,,,,1.4794274430023506,1.5228437329933513,1.5228437329933513,2.252399179007625,2.268026033998467,2.460889097012114,None,0,,,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,2,2,2,2.510219469986623,,,,,,,,,,2.461750437010778,2.510219469986623,2.510219469986623,3.251628502010135,3.251628502010135,3.43523920601001,None,0,,,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-yellow.png,0,3,3,3,3.4833574290096294,,,,,,,,,,3.4358868270064704,3.5008551770006306,3.5008551770006306,4.250920557999052,4.24364680700819,4.443979172006948,['space'],0,0.47063623199937865,None,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,4,4,4,4.488682425988372,,,,,,,,,,4.44501503900392,4.494784574984806,4.494784574984806,5.25167259000591,5.243334288999904,5.45260256700567,None,0,,,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,5,5,5,5.50243290499202,,,,,,,,,,5.453323341993382,5.508830725011649,5.508830725011649,6.250610226008575,6.250610226008575,6.417417290009325,None,0,,,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-yellow.png,0,6,6,6,6.458652320987312,,,,,,,,,,6.417866389005212,6.499484311003471,6.499484311003471,7.2504256980028,7.242410981009016,7.483971934998408,['space'],0,0.45768703502835706,None,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,7,7,7,7.5222419959900435,,,,,,,,,,7.484572293004021,7.5222419959900435,7.5222419959900435,8.25097172599635,8.266853017994436,8.459676011989359,None,0,,,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,8,8,8,8.502127468993422,,,,,,,,,,8.46035264999955,8.502127468993422,8.502127468993422,9.248933856986696,9.248933856986696,9.46687082000426,None,0,,,,,sub-SM2,ses-5control,run-2,grey,2024-05-31_12h25.58.032,VDT,2023.2.3,119.94400199182007,2024-05-31 12h26.01.081259 +0200,
