image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,FixDot2.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.0060093560023233294,0.014909538003848866,0.014909538003848866,1.1757577539829072,s,0,1.1516858779941685,None,,,,,,,,,,,,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,0,0,0,1.2224363650020678,,,,,,,,,,1.1827016070019454,1.2224363650020678,1.2224363650020678,1.9241406520013697,1.9656938969856128,2.1639991590054706,2.1648772099870257,None,0,,,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,1,1,1,2.21378535500844,,,,,,,,,,2.165527804987505,2.21378535500844,2.21378535500844,2.9242185080074705,2.9571603600052185,,3.091675067000324,None,0,,,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-yellow.png,0,2,2,2,3.1425375590042677,,,,,,,,,,3.0924020849925,3.173754013987491,3.173754013987491,3.9236764590023085,3.9137041560024954,,4.099880185996881,['space'],0,0.4096384400036186,None,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,3,3,3,4.149769801006187,,,,,,,,,,4.100860336999176,4.173745495994808,4.173745495994808,4.923370848002378,4.913263575988822,,5.1489696739881765,None,0,,,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,4,4,4,5.191871460003313,,,,,,,,,,5.149381427007029,5.191871460003313,5.191871460003313,5.922936071990989,5.939916890987661,,6.123462944990024,None,0,,,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,5,5,5,6.163878325984115,,,,,,,,,,6.124046377983177,6.174904415995115,6.174904415995115,6.926143132004654,6.926143132004654,,7.164802321000025,None,0,,,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-yellow.png,0,6,6,6,7.21031547698658,,,,,,,,,,7.165298020001501,7.21031547698658,7.21031547698658,7.922752051992575,7.960444553988054,,8.106848508992698,['space'],0,0.5646921949810348,None,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,7,7,7,8.164647208002862,,,,,,,,,,8.107839539996348,8.180063564999728,8.180063564999728,8.922829577000812,8.922829577000812,,9.081027242995333,None,0,,,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,8,8,8,9.127470742008882,,,,,,,,,,9.08136413700413,9.172095091984374,9.172095091984374,9.925142774998676,9.912090789992362,10.17191946398816,10.178016624995507,None,0,,,10.162810351990629,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,9,9,9,10.226292214996647,,,,,,,,,,10.17836444400018,10.226292214996647,10.226292214996647,10.92166398698464,10.98064537299797,,11.11275050099357,None,0,,,,sub-SM2,ses-5control,run-4,grey,2024-05-31_12h26.41.951,VDT,2023.2.3,122.13942595989916,2024-05-31 12h26.44.988946 +0200,
