image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,FixDot2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.005365792982047424,0.012935003003804013,0.012935003003804013,1.7095729389984626,s,0,1.691879488993436,None,,,,,,,,,,,,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,0,0,0,1.7598035089904442,,,,,,,,,,1.718627073976677,1.7598035089904442,1.7598035089904442,2.457515621994389,2.5074533529987093,2.6582532039901707,None,0,,,,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,1,1,1,2.6956200349959545,,,,,,,,,,2.6591435549780726,2.7067329959827475,2.7067329959827475,3.457483553997008,3.4470092029951047,3.6585899439814966,None,0,,,,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-yellow.png,0,2,2,2,3.7074547649826854,,,,,,,,,,3.6595328869880177,3.7162982529844157,3.7162982529844157,4.456734935985878,4.464088303997414,4.690539779985556,['space'],0,0.5784935349947773,None,,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,3,3,3,4.735021800996037,,,,,,,,,,4.6916797519952524,4.735021800996037,4.735021800996037,5.456553283991525,5.480780886980938,5.656990178977139,None,0,,,,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
./images_eeg/Sphere_CW-3_BG-grey_stim-white.png,0,4,4,4,5.697334425000008,,,,,,,,,,5.657679300988093,5.7066073379828595,5.7066073379828595,6.456546515983064,6.446576260990696,6.690335061983205,None,0,,,,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,5,5,5,6.732860560994595,,,,,,,,,,6.691006990993628,6.732860560994595,6.732860560994595,7.45622534697759,7.481492970982799,7.706812115997309,None,0,,,7.695695709990105,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-yellow.png,0,6,6,6,7.750954789982643,,,,,,,,,,7.707624750997638,7.750954789982643,7.750954789982643,8.455848229990806,8.498213219980244,8.690274571999907,['space'],0,0.5070008430047892,None,,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,7,7,7,8.735504156997195,,,,,,,,,,8.691251880984055,8.735504156997195,8.735504156997195,9.456250902992906,9.481350982998265,9.664247816981515,None,0,,,,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
./images_eeg/Sphere_CCW-3_BG-grey_stim-white.png,0,8,8,8,9.706591926980764,,,,,,,,,,9.664698910986772,9.706591926980764,9.706591926980764,10.464241952984594,10.45571937999921,10.646616583981086,None,0,,,,sub-SM2,ses-5control,run-5,grey,2024-05-31_12h27.04.265,VDT,2023.2.3,120.3164013492048,2024-05-31 12h27.08.381636 +0200,
