image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,FixDot2.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.005456979008158669,0.013668261002749205,0.013668261002749205,1.083586811000714,s,0,1.0305688140215352,None,,,,,,,,,,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CW-0.75_BG-grey_stim-white.png,0,0,0,0,1.1387663159985095,,,,,,,,,,1.0910981789929792,1.1387663159985095,1.1387663159985095,1.832253487984417,1.882175108010415,2.0988702730101068,2.0999495240102988,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CCW-0.75_BG-grey_stim-white.png,0,1,1,1,2.148553175997222,,,,,,,,,,2.1007996700063813,2.148553175997222,2.148553175997222,2.832316443003947,2.9007634200097527,,3.0825511529983487,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CW-0.75_BG-grey_stim-yellow.png,0,2,2,2,3.1314811339834705,,,,,,,,,,3.0831936559989117,3.1314811339834705,3.1314811339834705,3.831825375003973,3.900183357996866,,4.0159929789952,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CW-0.75_BG-grey_stim-white.png,0,3,3,3,4.064852171984967,,,,,,,,,,4.016898540983675,4.081698752997909,4.081698752997909,4.831723982992116,4.820702072000131,,5.068159385002218,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CCW-0.75_BG-grey_stim-white.png,0,4,4,4,5.119330991990864,,,,,,,,,,5.068896893993951,5.119330991990864,5.119330991990864,5.831225751986494,5.866479451011401,,6.018554868991487,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-yellow.png,0,5,5,5,6.07269507800811,,,,,,,,,,6.0192898440000135,6.07269507800811,6.07269507800811,6.848063865996664,6.834163702005753,,7.066549877985381,None,0,7.065429818001576,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CCW-0.75_BG-grey_stim-white.png,0,6,6,6,7.116614150989335,,,,,,,,,,7.067158575984649,7.116614150989335,7.116614150989335,7.836142337997444,7.864270168996882,,8.034109669009922,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CW-0.75_BG-grey_stim-white.png,0,7,7,7,8.083671464992221,,,,,,,,,,8.034711615007836,8.083671464992221,8.083671464992221,8.831724568008212,8.831724568008212,,9.050692491000518,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CCW-0.75_BG-grey_stim-yellow.png,0,8,8,8,9.102737562992843,,,,,,,,,,9.051435330009554,9.102737562992843,9.102737562992843,9.832109574985225,9.86751498398371,,10.040711484994972,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_Ref_BG-grey_stim-white.png,0,9,9,9,10.092943856987404,,,,,,,,,,10.041666804987472,10.092943856987404,10.092943856987404,10.831766510003945,10.846643180004321,,11.047219950996805,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CW-0.75_BG-grey_stim-white.png,0,10,10,10,11.10024460501154,,,,,,,,,,11.047960161988158,11.10024460501154,11.10024460501154,11.831836978992214,11.854559428989887,,12.022996877989499,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CCW-0.75_BG-grey_stim-white.png,0,11,11,11,12.074352244002512,,,,,,,,,,12.02374368699384,12.082892739999807,12.082892739999807,12.831530397001188,12.831530397001188,,13.000695555994753,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
./images_eeg/Sphere_CW-0.75_BG-grey_stim-white.png,0,12,12,12,13.053143981989706,,,,,,,,,,13.001437406986952,13.087017320998712,13.087017320998712,13.832377165992511,13.846240093000233,,14.033612208004342,None,0,,sub-testrun3,ses-1control,run-1,grey,2024-10-15_11h02.05.547,VDT,2023.2.3,124.1373848567266,2024-10-15 11h02.15.237895 +0200,
