,rt,block
0,0.40080066799419,control
1,0.438211617001798,control
2,0.5060038230003556,control
3,0.40728884899726836,control
4,0.69074108699715,main
5,0.6009200929984218,main
6,0.5990493729987065,main
7,0.622900281996408,main
8,0.628619417999289,main
9,0.689939099996991,main
10,0.9797906599997077,main
11,0.7532563029963057,main
12,0.5693719600021723,main
13,0.716687323001679,main
14,0.5999404219983262,main
15,0.4914852769943536,main
16,0.6082185580016812,main
17,0.5323658470006194,main
18,0.661690542998258,main
19,0.5678198680034257,main
20,0.49061089199676644,control
21,0.4772792770017986,control
22,0.41430118399875937,control
23,0.46313227000064217,control
24,0.6437643479948747,main
25,0.6603795179980807,main
26,0.7307414969982347,main
27,0.6648800900002243,main
28,0.6490567330038175,main
29,0.7171649079973577,main
30,0.721474115998717,main
31,0.6460254959965823,main
32,0.610014093996142,main
33,0.7542117569973925,main
34,0.7546519349998562,main
35,0.45788757600530516,control
36,0.4159943020058563,control
37,0.5158266740036197,control
38,0.5658002530035446,control
39,0.5296005519994651,control
40,0.40460278199316235,control
41,0.44941197199659655,control
42,0.3872965379996458,control
43,0.4939278019955964,control
44,0.5297555600045598,control
45,0.42000848499446874,control
46,0.5445311919975211,control
47,0.47002145199803635,control
48,0.3882216880010674,control
49,0.46047402400290594,control
50,0.4257612119981786,control
51,0.4543283570019412,control
52,0.45012548299564514,control
53,0.44683619100396754,control
54,0.4577092379986425,control
55,0.48939365300611826,control
56,0.3700156249979045,control
57,0.35148757500428474,control
58,0.47053922500344925,control
59,0.5875248439988354,control
60,0.4684185290025198,control
61,0.36404170799505664,control
62,0.5073663059956743,control
63,0.6895696290011983,main
64,0.5823103520015138,main
65,0.6753562340018107,main
66,0.47103658199921483,main
67,0.5462807870062534,main
