image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,FixDot2.stopped,key_resp_2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.005329962994437665,0.013150052982382476,0.013150052982382476,0.8246605640160851,s,0,0.7764585160184652,None,,,,,,,,,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,0,0,0,0.9044796589878388,,,,,,,,,,0.8463942760135978,0.9044796589878388,0.9044796589878388,1.5720490950043313,1.6545702560106292,1.7723283059895039,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,1,1,1,1.8146161600016057,,,,,,,,,,1.7752556729828939,1.8223309789900668,1.8223309789900668,2.571426660986617,2.5605641739675775,2.7417531319661066,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,2,2,2,2.7807158089708537,,,,,,,,,,2.7421283120056614,2.821290181018412,2.821290181018412,3.571252272988204,3.5603695290046744,3.7721803059685044,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,3,3,3,3.8089238660177216,,,,,,,,,,3.772792614006903,3.8209699760191143,3.8209699760191143,4.571915556967724,4.56121377897216,4.779047838004772,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,4,4,4,4.820796767016873,,,,,,,,,,4.779499294993002,4.820796767016873,4.820796767016873,5.570287571987137,5.559926212008577,5.771346427965909,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,5,5,5,5.811227933969349,,,,,,,,,,5.772000245982781,5.820353396993596,5.820353396993596,6.570402181008831,6.55970087001333,6.762020028021652,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,6,6,6,6.801171484985389,,,,,,,,,,6.76245502801612,6.827583139995113,6.827583139995113,7.56989685096778,7.56989685096778,7.738716522988398,['space'],0,0.43572101095924154,None,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,7,7,7,7.784746141987853,,,,,,,,,,7.7406821380136535,7.819327262986917,7.819327262986917,8.569416087004356,8.55849018500885,8.820313329983037,None,0,,,8.809023947978858,8.809023947978858,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,8,8,8,8.860329606977757,,,,,,,,,,8.821170857001562,8.860329606977757,8.860329606977757,9.569621155969799,9.607468137983233,9.786958122975193,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,9,9,9,9.831265322980471,,,,,,,,,,9.790122186008375,9.831265322980471,9.831265322980471,10.569938090979122,10.577565692015924,10.753063876996748,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,10,10,10,10.793095076980535,,,,,,,,,,10.753730519965757,10.818852295982651,10.818852295982651,11.568763987976126,11.558385630021803,11.769909831986297,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,11,11,11,11.812219509971328,,,,,,,,,,11.770384303992614,11.819882381008938,11.819882381008938,12.568412013002671,12.568412013002671,12.74447599396808,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,12,12,12,12.781796068011317,,,,,,,,,,12.74481065000873,12.826227948011365,12.826227948011365,13.568113629997242,13.568113629997242,13.837191935977899,['space'],0,0.4524645120254718,None,13.80731513700448,13.82435006898595,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,13,13,13,13.873150491970591,,,,,,,,,,13.837644932966214,13.873150491970591,13.873150491970591,14.568331990973093,14.621505366987549,14.75923182000406,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,14,14,14,14.795139977999497,,,,,,,,,,14.759553176001646,14.817919110006187,14.817919110006187,15.567907518008724,15.557331701973453,15.7594194089761,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,15,15,15,15.802227912005037,,,,,,,,,,15.759865419007838,15.824707696971018,15.824707696971018,16.567374693986494,16.567374693986494,16.824497682973742,['space'],0,0.5854268010007218,None,16.80752976401709,16.817484283004887,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,16,16,16,16.866073646990117,,,,,,,,,,16.82493093801895,16.866073646990117,16.866073646990117,17.567222150973976,17.610842232999858,17.8069536969997,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,17,17,17,17.849072128010448,,,,,,,,,,17.80724294099491,17.849072128010448,17.849072128010448,18.567386951996014,18.6004840459791,18.75824992498383,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,18,18,18,18.799012450966984,,,,,,,,,,18.758554312982596,18.824600243999157,18.824600243999157,19.56629857799271,19.56629857799271,19.81718277197797,None,0,,,19.805919934005942,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,19,19,19,19.85958768799901,,,,,,,,,,19.817805724975187,19.85958768799901,19.85958768799901,20.575787364970893,20.601300976006314,20.83388739201473,None,0,,,20.822306964022573,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,20,20,20,20.868743314989842,,,,,,,,,,20.834637404012028,20.868743314989842,20.868743314989842,21.575970814970788,21.615854021976702,21.76931813696865,['space'],0,0.539929029007908,None,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,21,21,21,21.831111428968143,,,,,,,,,,21.769768961996306,21.83917668799404,21.83917668799404,22.575314472022,22.594619725015946,22.774670839018654,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,22,22,22,22.81621511996491,,,,,,,,,,22.775188917992637,22.81621511996491,22.81621511996491,23.57351681799628,23.554843418009114,23.74939848901704,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,23,23,23,23.79074607702205,,,,,,,,,,23.75001534499461,23.82300860801479,23.82300860801479,24.581921559001785,24.568736190965865,24.80057439499069,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,24,24,24,24.842057113011833,,,,,,,,,,24.800975328020286,24.842057113011833,24.842057113011833,25.581872579001356,25.589308400987647,25.748825559974648,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,25,25,25,25.78956804901827,,,,,,,,,,25.749614997010212,25.82283457898302,25.82283457898302,26.572347723005805,26.56464291800512,26.748939328012057,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,26,26,26,26.78872038197005,,,,,,,,,,26.74967083102092,26.821988056006376,26.821988056006376,27.57232906500576,27.56438130402239,27.75642189598875,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,27,27,27,27.799217447987758,,,,,,,,,,27.756828117009718,27.822217445995193,27.822217445995193,28.572171523992438,28.564202025998384,28.774389840022195,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,28,28,28,28.81417645799229,,,,,,,,,,28.77483635698445,28.821701875014696,28.821701875014696,29.58258594496874,29.565215128008276,29.783559628995135,['space'],0,0.4642023860360496,None,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,29,29,29,29.825433353020344,,,,,,,,,,29.784222899004817,29.825433353020344,29.825433353020344,30.580399688973557,30.580399688973557,30.800363286980428,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,30,30,30,30.840031971980352,,,,,,,,,,30.800768312998116,30.840031971980352,30.840031971980352,31.580178585019894,31.587907872977667,31.781090582022443,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,31,31,31,31.822410849970765,,,,,,,,,,31.781670263968408,31.822410849970765,31.822410849970765,32.57969179900829,32.57969179900829,32.789095839019865,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,32,32,32,32.83410393598024,,,,,,,,,,32.78943616698962,32.83410393598024,32.83410393598024,33.57942327600904,33.58807306998642,33.86586651101243,None,0,,,33.81889414798934,33.832763943995815,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,33,33,33,33.91290748497704,,,,,,,,,,33.86630450101802,33.91290748497704,33.91290748497704,34.57968445599545,34.654170507972594,34.813105534994975,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,34,34,34,34.855394318001345,,,,,,,,,,34.813727726985235,34.855394318001345,34.855394318001345,35.57895279198419,35.5989425900043,35.84632034099195,None,0,,,35.81832726299763,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,35,35,35,35.88806809997186,,,,,,,,,,35.847070107993204,35.88806809997186,35.88806809997186,36.578888317977544,36.63214937696466,36.74755827797344,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,36,36,36,36.78483256697655,,,,,,,,,,36.747964612965006,36.819423494976945,36.819423494976945,37.569841307995375,37.56186484300997,37.78653308202047,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,37,37,37,37.82226512400666,,,,,,,,,,37.786935209005605,37.83244991500396,37.83244991500396,38.5709939149674,38.57827963196905,38.803093954978976,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,38,38,38,38.84610343497479,,,,,,,,,,38.80354031297611,38.84610343497479,38.84610343497479,39.57054526999127,39.587044340965804,39.7613295459887,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,39,39,39,39.79807023599278,,,,,,,,,,39.76204250101,39.819154596014414,39.819154596014414,40.56893373798812,40.56098655797541,40.75234443199588,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,40,40,40,40.79505399096524,,,,,,,,,,40.75284371100133,40.818158753972966,40.818158753972966,41.56845408899244,41.560866719984915,41.77812948997598,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,41,41,41,41.81860015401617,,,,,,,,,,41.778762615984306,41.81860015401617,41.81860015401617,42.56768478901358,42.56022122898139,42.736645644996315,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,42,42,42,42.7741484210128,,,,,,,,,,42.73700625600759,42.817274586996064,42.817274586996064,43.56799441599287,43.560315857990645,43.82825950998813,None,0,,,43.80994489596924,43.80994489596924,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,43,43,43,43.871878702018876,,,,,,,,,,43.82897899101954,43.871878702018876,43.871878702018876,44.568389741005376,44.61774432298262,44.74362863396527,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,44,44,44,44.77798143198015,,,,,,,,,,44.74435780599015,44.816996929992456,44.816996929992456,45.56717594101792,45.559414838964585,45.78513816097984,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,45,45,45,45.830710818001535,,,,,,,,,,45.78559989097994,45.830710818001535,45.830710818001535,46.56817477400182,46.57640730001731,46.784234841994476,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,46,46,46,46.82573177997256,,,,,,,,,,46.78476979699917,46.82573177997256,46.82573177997256,47.56671495398041,47.56671495398041,47.77666848397348,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_Ref_BG-grey_stim-white.png,0,47,47,47,47.81689587800065,,,,,,,,,,47.77729418000672,47.81689587800065,47.81689587800065,48.56594282598235,48.55851787299616,48.78527765197214,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CCW-3.75_BG-grey_stim-white.png,0,48,48,48,48.818887963017914,,,,,,,,,,48.7859287239844,48.830405970977154,48.830405970977154,49.567588033969514,49.57906132098287,49.75001273897942,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
./images/Sphere_CW-3.75_BG-grey_stim-white.png,0,49,49,49,49.79040542099392,,,,,,,,,,49.75036252097925,49.81577349198051,49.81577349198051,50.56599173997529,50.55831583298277,50.76655869901879,None,0,,,,,sub-septest,ses-main,run-1,grey,2024-04-24_11h35.45.735,VDT,2023.2.3,None,2024-04-24 11h35.57.222625 +0200,
