image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,FixDot2.stopped,key_resp_2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.005193848977796733,0.014087010000366718,0.014087010000366718,1.638048696971964,s,0,1.615304187987931,None,,,,,,,,,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,0,0,0,1.690908525022678,,,,,,,,,,1.6469294190173969,1.690908525022678,1.690908525022678,2.391501921985764,2.4335005049942993,2.6098414000007324,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,1,1,1,2.6559085689950734,,,,,,,,,,2.6108696659794077,2.6559085689950734,2.6559085689950734,3.385257522983011,3.4082221100106835,3.58586444996763,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,2,2,2,3.635468551015947,,,,,,,,,,3.5869384779944085,3.6432097149663605,3.6432097149663605,4.391030655009672,4.391030655009672,4.577623735007364,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,3,3,3,4.622783717990387,,,,,,,,,,4.578366276982706,4.630726825969759,4.630726825969759,5.3826958750141785,5.3826958750141785,5.557898038008716,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_Ref_BG-grey_stim-white.png,0,4,4,4,5.600384071003646,,,,,,,,,,5.5589483979856595,5.631533298990689,5.631533298990689,6.383068021968938,6.373490847996436,6.577418825996574,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,5,5,5,6.6214970629662275,,,,,,,,,,6.578025549009908,6.629786803969182,6.629786803969182,7.382433771970682,7.382433771970682,7.593641422979999,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,6,6,6,7.639381507993676,,,,,,,,,,7.594179442967288,7.639381507993676,7.639381507993676,8.406685344991274,8.406685344991274,8.609936618013307,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,7,7,7,8.651227850990836,,,,,,,,,,8.610445494006854,8.651227850990836,8.651227850990836,9.385010277968831,9.395639003021643,9.576105371990707,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_Ref_BG-grey_stim-white.png,0,8,8,8,9.620821040007286,,,,,,,,,,9.57684298598906,9.628860311000608,9.628860311000608,10.38039658498019,10.372436897014268,10.57591393997427,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,9,9,9,10.617793792975135,,,,,,,,,,10.576541377988178,10.631348592985887,10.631348592985887,11.405575993994717,11.38920633296948,11.566374766989611,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,10,10,10,11.61575975100277,,,,,,,,,,11.56710436596768,11.628942509996705,11.628942509996705,12.380019744974561,12.371721634990536,12.608024813001975,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_Ref_BG-grey_stim-white.png,0,11,11,11,12.65141994797159,,,,,,,,,,12.608636540011503,12.65141994797159,12.65141994797159,13.384199875988998,13.394109912973363,13.582935151003767,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,12,12,12,13.62816889199894,,,,,,,,,,13.583523534995038,13.638204091985244,13.638204091985244,14.38071677001426,14.38071677001426,14.629553041013423,None,0,14.628424377995543,14.628424377995543,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,13,13,13,14.680805503972806,,,,,,,,,,14.630341926997062,14.680805503972806,14.680805503972806,15.388074980000965,15.438083682965953,15.597806958016008,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,14,14,14,15.649132537015248,,,,,,,,,,15.598569758003578,15.649132537015248,15.649132537015248,16.38207334501203,16.391982702014502,16.565839475020766,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_Ref_BG-grey_stim-white.png,0,15,15,15,16.61586476501543,,,,,,,,,,16.566614218987525,16.628704933973495,16.628704933973495,17.378820576996077,17.370702292013448,17.55477082397556,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,16,16,16,17.602613065973856,,,,,,,,,,17.555863862973638,17.62837039498845,17.62837039498845,18.37882737000473,18.37046837597154,18.58909267297713,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,17,17,17,18.633888603013474,,,,,,,,,,18.589990709966514,18.633888603013474,18.633888603013474,19.378862262994517,19.378862262994517,19.58088556997245,None,0,,,sub-septest,ses-main,run-2,grey,2024-04-24_10h18.09.526,VDT,2023.2.3,None,2024-04-24 10h18.23.054723 +0200,
