image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,FixDot2.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.005226526991464198,0.013155298016499728,0.013155298016499728,0.9338104960042983,s,0,0.9189542360254563,None,,,,,,,,,,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,0,0,0,0.9791233650175855,,,,,,,,,,0.9444499459932558,0.9791233650175855,0.9791233650175855,1.6906072730198503,1.724255584005732,1.933159542037174,1.9340016150381416,None,0,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,1,1,1,1.9799758730223402,,,,,,,,,,1.9349096030346118,1.9799758730223402,1.9799758730223402,2.690423477033619,2.745337494998239,,2.866272426035721,None,0,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
./images3/Sphere_Ref_BG-grey_stim-white.png,0,2,2,2,2.9135544410091825,,,,,,,,,,2.8669903349946253,2.930606429988984,2.930606429988984,3.6753893000422977,3.6753893000422977,,3.8929980730172247,None,0,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,3,3,3,3.9414641149924137,,,,,,,,,,3.8939362470409833,3.9414641149924137,3.9414641149924137,4.678940251993481,4.690228086023126,,4.859316666028462,None,0,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,4,4,4,4.900553336017765,,,,,,,,,,4.859970442019403,4.9302310540224425,4.9302310540224425,5.6758766320417635,5.6758766320417635,,5.899405486008618,None,0,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
./images3/Sphere_Ref_BG-grey_stim-white.png,0,5,5,5,5.943829605996143,,,,,,,,,,5.900148214015644,5.943829605996143,5.943829605996143,6.689913686015643,6.7064238780294545,,6.881673741037957,None,0,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
./images3/Sphere_CCW-3.75_BG-grey_stim-white.png,0,6,6,6,6.929756109020673,,,,,,,,,,6.8824150880100206,6.939321961021051,6.939321961021051,7.681476422993001,7.681476422993001,,7.889755012001842,None,0,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,7,7,7,7.93467062903801,,,,,,,,,,7.890623769024387,7.93467062903801,7.93467062903801,8.677630775026046,8.689133979030885,,8.84929808601737,None,0,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
./images3/Sphere_CW-3.75_BG-grey_stim-white.png,0,8,8,8,8.899127588025294,,,,,,,,,,8.85006629099371,8.929256912029814,8.929256912029814,9.681576597038656,9.672661840042565,,9.896588822011836,None,0,sub-septest,ses-main,run-3,grey,2024-04-24_10h18.42.666,VDT,2023.2.3,None,2024-04-24 10h24.48.646285 +0200,
