image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WaitingForScannerTrigger.started,Vertical.started,key_resp.started,WaitingForScannerTrigger.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,VDT.started,PresentedLine1.started,key_resp_2.started,FixDot2.started,PresentedLine1.stopped,VDT.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_2.stopped,FixDot2.stopped,participant,session,run,BG_color,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.003905655990820378,0.008806377009022981,0.008806377009022981,1.777346430986654,s,0,1.7280550229479559,None,,,,,,,,,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,0,0,0,1.8364639630308375,,,,,,,,,,1.7962389210006222,1.8364639630308375,1.8364639630308375,2.5238447960000485,2.5811046700109728,2.747894781001378,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,1,1,1,2.7985712559893727,,,,,,,,,,2.7502409130102023,2.7985712559893727,2.7985712559893727,3.5230978850158863,3.547036215022672,3.74101530801272,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,2,2,2,3.786415581998881,,,,,,,,,,3.741838505025953,3.786415581998881,3.786415581998881,4.5229931169888005,4.530011383991223,4.713431459036656,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_Ref_BG-grey_stim-yellow.png,0,3,3,3,4.7589068920351565,,,,,,,,,,4.714026364032179,4.7777796990121715,4.7777796990121715,5.522560485987924,5.522560485987924,5.705442177015357,['space'],0,0.47953661502106115,None,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,4,4,4,5.741208877007011,,,,,,,,,,5.706568775000051,5.778227146016434,5.778227146016434,6.521817777014803,6.521817777014803,6.7224301070091315,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,5,5,5,6.768542863021139,,,,,,,,,,6.723386219993699,6.788370769005269,6.788370769005269,7.521322651999071,7.528350467036944,7.70567056001164,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,6,6,6,7.752828832017258,,,,,,,,,,7.706590127025265,7.776657706010155,7.776657706010155,8.520770294009708,8.520770294009708,8.711160937033128,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-yellow.png,0,7,7,7,8.756064070039429,,,,,,,,,,8.71175353700528,8.776382645999547,8.776382645999547,9.520175798039418,9.520175798039418,9.720927669026423,['space'],0,0.4798141030478291,None,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,8,8,8,9.770914468041155,,,,,,,,,,9.722519128001295,9.775818293041084,9.775818293041084,10.519596211030148,10.519596211030148,10.720137786003761,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_Ref_BG-grey_stim-white.png,0,9,9,9,10.764702352986205,,,,,,,,,,10.721058075025212,10.769521673035342,10.769521673035342,11.526756909035612,11.519464700017124,11.744421257986687,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_Ref_BG-grey_stim-yellow.png,0,10,10,10,11.794922720990144,,,,,,,,,,11.74515017401427,11.794922720990144,11.794922720990144,12.526150080026127,12.555370999034494,12.727522034023423,['space'],0,0.47037902899319306,None,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,11,11,11,12.775786165031604,,,,,,,,,,12.728462083032355,12.784866434987634,12.784866434987634,13.535663116024807,13.535663116024807,13.7216747670318,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,12,12,12,13.770748011011165,,,,,,,,,,13.722463530022651,13.78527649200987,13.78527649200987,14.525131163012702,14.525131163012702,14.724325971037615,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-yellow.png,0,13,13,13,14.771425287995953,,,,,,,,,,14.725088170031086,14.784086717991158,14.784086717991158,15.52439009200316,15.52439009200316,15.751345433003735,['space'],0,0.440522720979061,None,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,14,14,14,15.799163102987222,,,,,,,,,,15.752706780040171,15.799163102987222,15.799163102987222,16.525005982024595,16.539589152031112,16.70135157799814,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,15,15,15,16.749162713997066,,,,,,,,,,16.702142779016867,16.77246229699813,16.77246229699813,17.53611741203349,17.51960198598681,17.724349834024906,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_Ref_BG-grey_stim-white.png,0,16,16,16,17.772084683005232,,,,,,,,,,17.725069752021227,17.782895223004743,17.782895223004743,18.532401533040684,18.532401533040684,18.739533153013326,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,17,17,17,18.785682195040863,,,,,,,,,,18.740112653002143,18.785682195040863,18.785682195040863,19.53506321000168,19.548900294990744,19.77407685603248,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,18,18,18,19.82353711599717,,,,,,,,,,19.774799828010146,19.82353711599717,19.82353711599717,20.52319900400471,20.56483325402951,20.7161120439996,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,19,19,19,20.765219683991745,,,,,,,,,,20.717185240006074,20.770306168007664,20.770306168007664,21.52192723302869,21.51433175901184,21.721674592001364,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_Ref_BG-grey_stim-yellow.png,0,20,20,20,21.765198528999463,,,,,,,,,,21.722270597005263,21.780680384021252,21.780680384021252,22.52148674003547,22.52148674003547,22.719544181018136,['space'],0,0.4927064999938011,None,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,21,21,21,22.757930024992675,,,,,,,,,,22.72010313399369,22.768765224027447,22.768765224027447,23.51934653299395,23.513143563992344,23.71349002502393,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_Ref_BG-grey_stim-white.png,0,22,22,22,23.755127825017553,,,,,,,,,,23.71445168700302,23.768913437030278,23.768913437030278,24.529409656010102,24.515551867021713,24.763237831997685,None,0,,,24.762331667006947,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,23,23,23,24.809455699985847,,,,,,,,,,24.764471031026915,24.809455699985847,24.809455699985847,25.519475515990052,25.552015446999576,25.712854220997542,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_Ref_BG-grey_stim-yellow.png,0,24,24,24,25.75826654501725,,,,,,,,,,25.714208496036008,25.766815174021758,25.766815174021758,26.518906935991254,26.511787142022513,26.72968073602533,['space'],0,0.4816814420046285,None,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,25,25,25,26.77799724502256,,,,,,,,,,26.730923738039564,26.77799724502256,26.77799724502256,27.518145090027247,27.518145090027247,27.76429908402497,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,26,26,26,27.814056183036882,,,,,,,,,,27.76512110402109,27.814056183036882,27.814056183036882,28.519196543027647,28.560709321987815,28.712314889009576,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,27,27,27,28.75787475699326,,,,,,,,,,28.71310342301149,28.77712630300084,28.77712630300084,29.517075001029298,29.517075001029298,29.717824917985126,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-white.png,0,28,28,28,29.763235829013865,,,,,,,,,,29.718545107985847,29.776440530025866,29.776440530025866,30.517430312989745,30.517430312989745,30.71044927003095,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CCW-1.5_BG-grey_stim-yellow.png,0,29,29,29,30.756378513004165,,,,,,,,,,30.71154840802774,30.782207105017733,30.782207105017733,31.5260104489862,31.5260104489862,31.760126167035196,['space'],0,0.5383482920005918,None,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
./images_beh/Sphere_CW-1.5_BG-grey_stim-white.png,0,30,30,30,31.806900568015408,,,,,,,,,,31.7612111280323,31.806900568015408,31.806900568015408,32.52544078603387,32.54910214000847,32.76022858399665,None,0,,,,,sub-sepehr,ses-control-stim-z-2,run-1,grey,2024-04-25_12h58.27.439,VDT,2023.2.3,None,2024-04-25 12h58.59.838183 +0200,
